Matricula: 10011112, Referencia: 100, Valor Formatado: 2730.7
Matricula: 10011112, Referencia: 134, Valor Formatado: 1174.2
Matricula: 10011112, Referencia: 200, Valor Formatado: 1046.64
Matricula: 10011112, Referencia: 201, Valor Formatado: 830.97
Matricula: 10011112, Referencia: 1195, Valor Formatado: 3571.09
Matricula: 10028347, Referencia: 100, Valor Formatado: 2252.19
Matricula: 10028347, Referencia: 104, Valor Formatado: 450.44
Matricula: 10028347, Referencia: 114, Valor Formatado: 900.88
Matricula: 10028347, Referencia: 134, Valor Formatado: 968.44
Matricula: 10028347, Referencia: 200, Valor Formatado: 640.07
Matricula: 10028347, Referencia: 201, Valor Formatado: 232.94
Matricula: 10036679, Referencia: 100, Valor Formatado: 2252.19
Matricula: 10036679, Referencia: 104, Valor Formatado: 450.44
Matricula: 10036679, Referencia: 114, Valor Formatado: 900.88
Matricula: 10036679, Referencia: 134, Valor Formatado: 1013.49
Matricula: 10036679, Referencia: 200, Valor Formatado: 646.38
Matricula: 10036679, Referencia: 201, Valor Formatado: 241.66
Matricula: 10039279, Referencia: 100, Valor Formatado: 2252.19
Matricula: 10039279, Referencia: 104, Valor Formatado: 450.44
Matricula: 10039279, Referencia: 114, Valor Formatado: 900.88
Matricula: 10039279, Referencia: 134, Valor Formatado: 990.96
Matricula: 10039279, Referencia: 144, Valor Formatado: 2297.24
Matricula: 10039279, Referencia: 200, Valor Formatado: 643.23
Matricula: 10039279, Referencia: 201, Valor Formatado: 194.64
Matricula: 10049028, Referencia: 100, Valor Formatado: 1320.0
Matricula: 10049028, Referencia: 104, Valor Formatado: 264.0
Matricula: 10049028, Referencia: 114, Valor Formatado: 528.0
Matricula: 10049028, Referencia: 134, Valor Formatado: 554.4
Matricula: 10049028, Referencia: 144, Valor Formatado: 1333.2
Matricula: 10049028, Referencia: 200, Valor Formatado: 373.3
Matricula: 10049028, Referencia: 201, Valor Formatado: 13.58
Matricula: 10049028, Referencia: 207, Valor Formatado: 79.2
Matricula: 10049028, Referencia: 208, Valor Formatado: 26.4
Matricula: 10054023, Referencia: 100, Valor Formatado: 1320.0
Matricula: 10054023, Referencia: 104, Valor Formatado: 264.0
Matricula: 10054023, Referencia: 114, Valor Formatado: 529.62
Matricula: 10054023, Referencia: 117, Valor Formatado: 4.05
Matricula: 10054023, Referencia: 134, Valor Formatado: 528.0
Matricula: 10054023, Referencia: 200, Valor Formatado: 370.39
Matricula: 10054023, Referencia: 201, Valor Formatado: 12.25
Matricula: 10054023, Referencia: 207, Valor Formatado: 79.2
Matricula: 10054023, Referencia: 219, Valor Formatado: 26.46
Matricula: 10054023, Referencia: 368, Valor Formatado: 58.2
Matricula: 10056605, Referencia: 100, Valor Formatado: 2252.19
Matricula: 10056605, Referencia: 104, Valor Formatado: 450.44
Matricula: 10056605, Referencia: 114, Valor Formatado: 900.88
Matricula: 10056605, Referencia: 134, Valor Formatado: 900.88
Matricula: 10056605, Referencia: 200, Valor Formatado: 630.61
Matricula: 10056605, Referencia: 330, Valor Formatado: 1181.88
Matricula: 10056605, Referencia: 352, Valor Formatado: 30.0
Matricula: 10060979, Referencia: 90, Valor Formatado: 475.56
Matricula: 10060979, Referencia: 100, Valor Formatado: 1706.96
Matricula: 10060979, Referencia: 104, Valor Formatado: 341.39
Matricula: 10060979, Referencia: 114, Valor Formatado: 682.78
Matricula: 10060979, Referencia: 134, Valor Formatado: 665.71
Matricula: 10060979, Referencia: 200, Valor Formatado: 475.56
